time,open,high,low,close,Fast_MA,Slow_MA,Signal,Crossover,Bias
2024-11-05 19:00:00,17.41992,17.42108,17.36401,17.36711,17.5110262,17.5719763,-1,0.0,Bearish
2024-11-05 20:00:00,17.36681,17.37867,17.35727,17.36966,17.5070318,17.569310400000003,-1,0.0,Bearish
2024-11-05 21:00:00,17.37027,17.37467,17.35386,17.36921,17.5025854,17.566122399999998,-1,0.0,Bearish
2024-11-05 22:00:00,17.36921,17.37932,17.35483,17.37878,17.4971494,17.563224,-1,0.0,Bearish
2024-11-05 23:00:00,17.37878,17.41454,17.37201,17.37441,17.4914974,17.5603708,-1,0.0,Bearish
2024-11-06 00:00:00,17.37411,17.39876,17.36912,17.37695,17.4860544,17.557526699999997,-1,0.0,Bearish
2024-11-06 01:00:00,17.37681,17.39662,17.36171,17.37989,17.480871999999998,17.5549331,-1,0.0,Bearish
2024-11-06 02:00:00,17.3842,17.54533,17.3717,17.53937,17.4806752,17.553962,-1,0.0,Bearish
2024-11-06 03:00:00,17.53907,17.58418,17.52798,17.54868,17.4800648,17.5529697,-1,0.0,Bearish
2024-11-06 04:00:00,17.55068,17.75423,17.54728,17.75383,17.484375,17.5541462,-1,0.0,Bearish
2024-11-06 05:00:00,17.75383,17.80583,17.73743,17.77654,17.4893154,17.555499,-1,0.0,Bearish
2024-11-06 06:00:00,17.77583,17.77893,17.6224,17.67151,17.4922604,17.555806099999998,-1,0.0,Bearish
2024-11-06 07:00:00,17.6712,17.70948,17.6255,17.70311,17.496416999999997,17.5561892,-1,0.0,Bearish
2024-11-06 08:00:00,17.70311,17.81128,17.70223,17.80188,17.502402,17.557494700000003,-1,0.0,Bearish
2024-11-06 09:00:00,17.80033,17.80714,17.677880000000002,17.71111,17.5063468,17.558029,-1,0.0,Bearish
2024-11-06 10:00:00,17.71213,17.72622,17.5501,17.58295,17.5069984,17.5572037,-1,0.0,Bearish
2024-11-06 11:00:00,17.58241,17.62586,17.56747,17.61688,17.5084666,17.556714500000002,-1,0.0,Bearish
